"stationID","datetimeUTC","voltage_V","h2Temp_C","stage_ft","LSU","telem_source","basinPair"
"CW","2021-10-14 12:05:00",12.7,-3.4,0.04,100,"GOES","Coxit"
"CE","2021-10-14 12:05:00",12.6,-4.1,0.04,100,"GOES","Coxit"
"TW","2021-10-15 00:05:00",12.7,4.4,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-15 00:05:00",12.7,2.8,0.04,100,"GOES","Fish Creek"
"CW","2021-10-15 00:05:00",12.7,3,0.04,100,"GOES","Coxit"
"CE","2021-10-15 00:05:00",12.7,3.1,0.03,100,"GOES","Coxit"
"TW","2021-10-15 12:05:00",12.7,3,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-15 12:05:00",12.7,3.1,0.04,100,"GOES","Fish Creek"
"CW","2021-10-15 12:05:00",12.7,0.8,0.04,100,"GOES","Coxit"
"CE","2021-10-15 12:05:00",12.6,-0.2,0.03,100,"GOES","Coxit"
"TW","2021-10-16 00:05:00",12.7,6,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-16 00:05:00",12.7,5,0.04,100,"GOES","Fish Creek"
"CW","2021-10-16 00:05:00",12.7,5.5,0.04,100,"GOES","Coxit"
"CE","2021-10-16 00:05:00",12.8,5.2,0.03,100,"GOES","Coxit"
"TW","2021-10-16 12:05:00",12.7,3.5,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-16 12:05:00",12.7,3.5,0.04,100,"GOES","Fish Creek"
"CW","2021-10-16 12:05:00",12.7,3.4,0.04,100,"GOES","Coxit"
"CE","2021-10-16 12:05:00",12.6,2.8,0.04,100,"GOES","Coxit"
"TW","2021-10-17 00:05:00",12.7,7.4,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-17 00:05:00",12.7,6.7,0.03,100,"GOES","Fish Creek"
"CW","2021-10-17 00:05:00",12.7,6.9,0.03,100,"GOES","Coxit"
"CE","2021-10-17 00:05:00",12.7,7.5,0.03,100,"GOES","Coxit"
"TW","2021-10-17 12:05:00",12.7,2,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-17 12:05:00",12.7,3.5,0.04,100,"GOES","Fish Creek"
"CW","2021-10-17 12:05:00",12.7,3.2,0.03,100,"GOES","Coxit"
"CE","2021-10-17 12:05:00",12.6,1.9,0.03,100,"GOES","Coxit"
"TW","2021-10-18 00:05:00",12.7,8.6,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-18 00:05:00",12.7,8.8,0.03,100,"GOES","Fish Creek"
"CW","2021-10-18 00:05:00",12.7,8.5,0.03,100,"GOES","Coxit"
"CE","2021-10-18 00:05:00",12.7,8.8,0.03,100,"GOES","Coxit"
"TW","2021-10-18 12:05:00",12.7,2.2,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-18 12:05:00",12.7,3.5,0.03,100,"GOES","Fish Creek"
"CW","2021-10-18 12:05:00",12.7,2.5,0.03,100,"GOES","Coxit"
"CE","2021-10-18 12:05:00",12.6,0.9,0.03,100,"GOES","Coxit"
"TW","2021-10-19 00:05:00",12.7,8.3,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-19 00:05:00",12.7,7.6,0.03,100,"GOES","Fish Creek"
"CW","2021-10-19 00:05:00",12.7,7.3,0.03,100,"GOES","Coxit"
"CE","2021-10-19 00:05:00",12.7,7.8,0.03,100,"GOES","Coxit"
"TW","2021-10-19 12:05:00",12.7,1.5,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-19 12:05:00",12.7,2.6,0.03,100,"GOES","Fish Creek"
"CW","2021-10-19 12:05:00",12.7,2.9,0.03,100,"GOES","Coxit"
"CE","2021-10-19 12:05:00",12.6,0.9,0.03,100,"GOES","Coxit"
"TW","2021-10-20 00:05:00",12.7,7.9,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-20 00:05:00",12.7,7.2,0.03,100,"GOES","Fish Creek"
"CW","2021-10-20 00:05:00",12.7,7.8,0.03,100,"GOES","Coxit"
"CE","2021-10-20 00:05:00",12.7,8.1,0.03,100,"GOES","Coxit"
"TW","2021-10-20 12:05:00",12.7,2.9,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-20 12:05:00",12.7,4,0.04,100,"GOES","Fish Creek"
"CW","2021-10-20 12:05:00",12.7,4.8,0.03,100,"GOES","Coxit"
